order_id,user_id,order_date,amount,status
1e724ddb-3112-468e-b8a6-bc29b11231d8,3a17de70-9b0b-403f-bc5f-ef1df3191365,2024-04-15T23:00:22,384.36,pending
ffac7c47-a4eb-4cbd-a678-b50a8071feae,1243ee4a-d1d2-4aaf-866c-86e6ab890ae4,2024-10-24T00:01:13,491.01,completed
22a1b7b5-701a-470d-b85d-0c2bd1467b05,853314b6-de98-443c-8b9e-4433e3b242fd,2025-07-21T21:36:18,48.99,completed
c8a029ea-0f08-4423-a433-d6d2dcf2ba01,a7d0d3e7-f81c-4fed-aeb0-5b2b22024525,2025-09-03T03:05:57,55.66,completed
e13dd2e6-1d70-4f81-9e62-fe84a0b21b9c,65ee2e00-a5d9-4db8-aac1-3dafadcde04f,2024-06-18T10:13:53,325.39,cancelled
404946f4-65c1-48f4-84f7-8dd64b7647ac,3aef2f66-633d-4d48-a248-c86bdc1cc876,2025-07-17T12:03:05,477.93,cancelled
cf30e6db-b2f3-48e8-b607-0f891665656d,3135a5c3-f850-485a-b68a-eb5d6ae10a2b,2025-09-16T17:30:07,167.59,cancelled
ae6752f4-0edd-46d1-9a08-9ae4a55d8e5f,5505543d-f31a-488f-b363-29e84a99e102,2024-01-09T02:21:59,245.43,cancelled
af032e25-7016-4468-b5f5-0a17954d31e0,6402d7bc-5a4a-436c-8f57-327aa73ace82,2024-10-08T21:57:48,176.37,cancelled
33ab1cbf-ee53-417f-bf36-229d1afa2076,b1adeb11-e7b6-40df-abe0-f9b768467308,2025-05-30T11:59:14,225.42,completed
7acf6e8d-d0e4-4c7b-aa6f-303e8cef4865,44f5374e-535f-47f3-a80a-0c6fa786e24b,2024-03-19T23:43:05,297.93,pending
1e53e7b2-b7d8-46ea-a076-363607850427,55bbc929-f7f2-417f-8bf3-eac757031c6b,2024-04-18T12:33:41,91.48,cancelled
67d5f534-2cdb-4235-9c3f-92a4097f9ef2,51c967a2-6503-4360-8700-88df237e31be,2025-08-31T08:04:44,473.13,shipped
a19edfa0-8f69-4266-8e24-ae52ce48e6ab,62fe1bf7-cda4-4b1f-882a-fa625508b810,2025-07-30T00:30:38,320.11,pending
eeb85a31-6a85-4df0-8843-b29a60b12999,65e13f2c-6b4d-49e7-bf8f-d6937f7babbf,2025-03-31T00:10:38,261.02,pending
f57a8185-14a1-43c3-b0f9-21dd9b4c6ebe,60cb0ef7-4f46-4585-bcd2-eb0496b57420,2025-01-17T08:46:32,494.2,cancelled
eeabe240-3c07-45ee-bdcf-39ebca3551e8,584980b3-1838-430e-8119-b504151136c8,2024-12-12T05:03:17,148.47,cancelled
8c27ae10-bfa7-4e34-ab34-1aec12ada441,04ba0f4b-2b6f-4ef3-8a43-50e8b1b48428,2025-01-03T05:08:44,22.82,cancelled
99eff5c4-a1aa-48dd-ad37-c1059734e5c4,425bd0a9-fcff-438d-bcda-c07421c29489,2025-02-26T06:41:24,167.06,pending
ed6d4ee6-b6e8-49bd-87e1-cf07b3e8fa04,c6f2f95d-cb19-4f0c-9062-0c52e221a48c,2024-08-07T08:17:20,45.7,pending
07623b20-e21e-4ab6-aa0c-e93779806087,f9cc9570-5015-495d-ba91-efd4b4399b78,2023-12-26T02:52:35,134.6,completed
77737183-0847-43df-ad23-739eebb5f1ac,21fb51df-2032-446d-ba79-cc95d3436184,2025-03-14T11:13:22,384.63,cancelled
